Algorithm: Greedy Vertex Coloring
Vertex colors:
0 0
1 3
2 3
3 0
4 2
5 2
6 0
7 1
8 0
9 2
10 0
11 1
12 2
13 1
14 1
15 1
16 3
17 1
18 2
19 0
20 1
21 1
22 3
23 3
24 3
25 0
26 0
27 0
28 2
29 0
30 1
31 1
32 0
33 1
34 0
35 1
36 3
37 0
38 3
39 1
40 2
41 2
42 1
43 3
44 3
45 3
46 1
47 3
48 0
49 1
50 3
51 3
52 3
53 2
54 2
55 2
56 0
57 1
58 2
59 1
60 2
61 2
62 0
63 2
64 1
65 1
66 1
67 1
68 1
69 4
70 1
71 0
72 2
73 1
74 1
75 2
76 3
77 1
78 0
79 1
80 0
81 0
82 2
83 2
84 0
85 3
86 2
87 0
88 2
89 2
90 0
91 0
92 0
93 2
94 2
95 2
96 0
97 3
98 1
99 2
Colors used: 5
Valid coloring: true
Execution time: 0.020798 ms
