Algorithm: Bellman-Ford
Source: 0
Vertex Distance
0 0
1 5
2 6
3 13
4 20
5 13
6 22
7 14
8 29
9 13
10 19
11 10
12 15
13 22
14 19
15 20
16 17
17 18
18 20
19 21
20 12
21 8
22 23
23 12
24 22
25 30
26 16
27 37
28 15
29 23
30 21
31 18
32 11
33 31
34 12
35 19
36 16
37 30
38 21
39 25
40 19
41 8
42 11
43 27
44 33
45 22
46 14
47 23
48 44
49 33
50 33
51 19
52 37
53 14
54 15
55 36
56 12
57 43
58 24
59 8
60 17
61 16
62 7
63 25
64 17
65 15
66 17
67 31
68 17
69 30
70 20
71 21
72 13
73 20
74 14
75 25
76 14
77 16
78 14
79 17
80 24
81 30
82 20
83 24
84 4
85 15
86 21
87 24
88 23
89 11
90 21
91 10
92 6
93 8
94 23
95 22
96 12
97 5
98 -5
99 3
Negative cycle: none
Execution time: 0.006871 ms
