Algorithm: PageRank
Damping: 0.85
Vertex ranks:
0 0.007181
1 0.006531
2 0.003351
3 0.002212
4 0.005270
5 0.009297
6 0.018268
7 0.006677
8 0.005236
9 0.008771
10 0.003985
11 0.003194
12 0.004215
13 0.008134
14 0.009452
15 0.009535
16 0.012989
17 0.022086
18 0.026623
19 0.015307
20 0.009565
21 0.020958
22 0.010408
23 0.005922
24 0.004017
25 0.003208
26 0.014112
27 0.005498
28 0.007415
29 0.008024
30 0.015833
31 0.016846
32 0.020026
33 0.022956
34 0.011970
35 0.005081
36 0.003660
37 0.002537
38 0.003657
39 0.004608
40 0.008051
41 0.016471
42 0.022002
43 0.020202
44 0.012005
45 0.014338
46 0.005561
47 0.009173
48 0.016371
49 0.017109
50 0.010040
51 0.020621
52 0.007342
53 0.011729
54 0.003993
55 0.006141
56 0.012631
57 0.007181
58 0.008967
59 0.020401
60 0.011939
61 0.018209
62 0.014415
63 0.016895
64 0.015859
65 0.020011
66 0.018511
67 0.019124
68 0.009628
69 0.004227
70 0.006666
71 0.004753
72 0.005541
73 0.007634
74 0.007989
75 0.009988
76 0.006248
77 0.003270
78 0.008732
79 0.008921
80 0.005798
81 0.007793
82 0.008335
83 0.010219
84 0.011085
85 0.013287
86 0.008757
87 0.005222
88 0.004431
89 0.005911
90 0.006986
91 0.005972
92 0.002769
93 0.009940
94 0.006200
95 0.006770
96 0.006926
97 0.004444
98 0.005277
99 0.010380
Sum of ranks: 1.000000
Iterations: 20
Converged: true
Execution time: 0.035572 ms
